id,voter,date,response,Old emoji code,Emoji code
31,41,0000-00-00,51,1028,C
32,41,0000-00-00,52,2007,G
33,42,0000-00-00,51,1028,C
34,104,0000-00-00,67,1028,C
35,105,0000-00-00,67,2007,G
36,106,0000-00-00,67,1317,D
37,107,0000-00-00,67,1317,D
38,108,0000-00-00,67,1317,D
45,113,0000-00-00,67,2007,G
46,118,0000-00-00,68,716,B
47,118,0000-00-00,68,3232,M
190,129,0000-00-00,51,1028,C
218,133,0000-00-00,51,1028,C
260,142,0000-00-00,72,2614,I
261,143,0000-00-00,72,1317,D
262,142,0000-00-00,72,1317,D
266,168,0000-00-00,103,2005,G
276,174,0000-00-00,51,1028,C
278,174,0000-00-00,51,1028,C
279,174,0000-00-00,51,1028,C
282,176,0000-00-00,111,714,B
284,176,0000-00-00,111,915,C
290,179,0000-00-00,112,1028,C
296,104,7/24/17,123,218,A
297,104,7/24/17,123,1317,D
298,213,7/24/17,123,1317,D
299,182,7/24/17,124,3025,L
300,148,7/24/17,126,716,B
313,224,7/24/17,127,716,B
315,227,7/24/17,123,218,A
327,222,7/24/17,127,716,B
328,232,7/24/17,127,716,B
329,234,7/25/17,128,937,C
330,235,7/25/17,130,714,B
331,235,7/25/17,128,937,C
332,239,7/25/17,131,716,B
333,239,7/25/17,132,218,A
334,239,7/25/17,132,2105,G
335,240,7/25/17,132,218,A
336,240,7/25/17,132,2105,G
337,240,7/25/17,133,716,B
338,241,7/25/17,134,218,A
339,241,7/25/17,134,716,B
340,241,7/25/17,131,716,B
341,241,7/25/17,134,2614,I
342,240,7/25/17,133,1317,D
343,241,7/25/17,127,714,B
344,241,7/25/17,126,218,A
345,186,7/25/17,136,1028,C
346,186,7/25/17,136,3011,L
347,242,7/25/17,136,3011,L
348,186,7/25/17,136,710,B
349,186,7/25/17,136,3329,M
350,186,7/25/17,136,706,B
351,186,7/25/17,136,3301,M
352,243,7/25/17,141,2009,G
353,244,7/25/17,142,3011,L
355,245,7/25/17,142,3011,L
357,244,7/25/17,143,218,A
358,245,7/25/17,143,218,A
359,186,7/25/17,144,2107,G
360,246,7/25/17,145,2106,G
361,246,7/25/17,144,217,A
362,246,7/25/17,144,2107,G
363,246,7/25/17,145,714,B
364,246,7/25/17,145,2009,G
365,246,7/25/17,146,2934,L
366,248,7/25/17,149,1005,C
367,248,7/25/17,149,3011,L
369,250,7/25/17,150,1028,C
370,253,7/25/17,152,2622,I
371,253,7/25/17,152,3303,M
372,252,7/25/17,129,3301,M
373,255,7/25/17,150,709,B
374,250,7/25/17,152,3303,M
375,250,7/25/17,158,2105,G
376,255,7/25/17,160,937,C
377,253,7/25/17,159,2706,J
378,254,7/25/17,159,2616,I
379,256,7/25/17,159,2137,H
380,253,7/25/17,159,2724,J
382,256,7/25/17,159,2115,G
383,255,7/25/17,160,3400,M
384,252,7/25/17,160,3400,M
385,252,7/25/17,159,2115,G
387,252,7/25/17,159,3909,O
390,254,7/25/17,158,2105,G
392,255,7/25/17,152,3303,M
395,253,7/25/17,161,1028,C
398,256,7/25/17,161,1028,C
399,257,7/25/17,159,2616,I
400,256,7/25/17,161,818,C
401,254,7/25/17,159,3909,O
402,255,7/25/17,164,716,B
403,254,7/25/17,159,2724,J
404,254,7/25/17,130,714,B
405,251,7/25/17,160,818,C
406,251,7/25/17,159,818,C
407,251,7/25/17,159,2616,I
408,253,7/25/17,160,915,C
409,258,7/25/17,168,2706,J
410,252,7/25/17,130,714,B
411,256,7/25/17,168,2706,J
412,256,7/25/17,168,1940,G
413,260,7/25/17,178,728,B
414,253,7/25/17,184,14,A
415,253,7/25/17,192,2003,G
419,273,7/28/17,160,915,C
420,273,7/28/17,162,3011,L
421,273,7/28/17,162,2106,G
422,273,7/28/17,162,3237,M
423,273,7/28/17,162,3239,M
424,273,7/28/17,162,217,A
425,273,7/28/17,162,2614,I
426,273,7/28/17,162,2614,I
427,273,7/28/17,162,3238,M
428,273,7/28/17,162,3236,M
429,273,7/28/17,162,3304,M
435,275,7/28/17,192,218,A
437,275,7/28/17,192,3300,M
438,275,7/28/17,192,3011,L
439,275,7/28/17,192,3239,M
440,275,7/28/17,192,3238,M
450,268,7/28/17,192,3011,L
454,279,7/30/17,217,3326,M
456,278,7/30/17,218,2518,I
457,279,7/30/17,218,2518,I
458,278,7/30/17,217,2426,I
459,278,7/30/17,218,706,B
460,279,7/30/17,218,712,B
461,279,7/30/17,218,702,B
462,279,7/30/17,218,716,B
464,278,7/30/17,218,2116,G
465,279,7/30/17,218,2008,G
466,279,7/30/17,218,2114,G
467,278,7/30/17,218,1028,C
468,279,7/30/17,218,2114,G
469,279,7/30/17,218,1028,C
470,279,7/30/17,218,2008,G
471,279,7/30/17,218,3239,M
472,278,7/30/17,218,1540,E
473,279,7/30/17,218,3306,M
474,279,7/30/17,218,3313,M
475,279,7/30/17,218,2429,I
476,279,7/30/17,218,2411,I
477,279,7/30/17,218,2137,H
478,279,7/30/17,218,3234,M
479,279,7/30/17,218,2433,I
480,278,7/30/17,219,937,C
481,279,7/30/17,218,2131,G
482,281,7/30/17,221,732,B
483,280,7/30/17,221,1123,D
484,280,7/30/17,221,2919,J
485,280,7/30/17,221,2134,H
486,281,7/30/17,222,1123,D
487,299,9/6/17,235,714,B
488,300,9/6/17,235,1028,C
489,299,9/6/17,241,1322,D
490,299,9/6/17,241,2717,J
491,302,9/6/17,242,721,B
492,299,9/12/17,235,1028,C
493,304,9/14/17,245,2614,I
494,304,9/14/17,245,1322,D
495,304,9/14/17,245,2621,I
496,305,9/14/17,245,1322,D
498,306,9/14/17,245,2621,I
500,306,9/14/17,245,2614,I
501,306,9/14/17,245,1322,D
502,307,9/14/17,236,915,C
504,317,10/24/17,258,915,C
507,318,10/24/17,261,2107,G
508,318,10/24/17,214,915,C
509,318,10/24/17,215,1028,C
512,365,2/10/18,487,2107,G
513,480,3/21/18,589,2616,I
514,484,3/21/18,589,2616,I
515,954,4/4/18,1700,2616,I
517,1129,4/18/18,2056,2614,I
518,383,4/29/18,507,716,B
519,1229,4/29/18,500,2009,G
520,371,4/29/18,2242,2008,G
521,1231,4/29/18,2243,714,B
522,371,4/29/18,501,2005,G
523,371,4/29/18,501,3303,M
524,371,4/29/18,501,218,A
525,1232,4/29/18,2244,712,B
526,371,4/29/18,501,2006,G
527,1229,4/29/18,501,2006,G
528,1229,4/29/18,501,218,A
529,1229,4/29/18,501,3303,M
530,1229,4/29/18,501,2005,G
532,1231,4/29/18,2246,712,B
533,1231,4/29/18,2247,2107,G
534,1234,4/29/18,2248,3025,L
536,1235,4/29/18,2249,1940,G
537,1236,4/29/18,2249,3306,M
538,1235,4/29/18,2250,2107,G
539,1234,4/29/18,2250,3220,M
540,1231,4/29/18,2252,915,C
541,1237,4/29/18,2253,714,B
542,1240,4/29/18,2259,2009,G
543,1242,4/29/18,2260,1110,D
544,1243,5/3/18,2261,2919,J
545,1244,5/3/18,2262,2009,G
546,1243,5/3/18,2263,2105,G
547,1244,5/3/18,2264,716,B
548,1243,5/3/18,2265,3238,M
549,1244,5/3/18,2266,710,B
550,1244,5/3/18,2266,1940,G
551,1257,5/3/18,2273,2103,G
552,1258,5/3/18,2274,1003,C
553,1257,5/3/18,2275,2008,G
554,1258,5/3/18,2276,1313,D
555,1257,5/3/18,2277,2614,I
556,1258,5/3/18,2280,1105,D
557,1260,5/3/18,2281,1940,G
558,1260,5/3/18,2282,710,B
559,1260,5/3/18,2282,1110,D
560,1245,5/3/18,2283,1003,C
561,1245,5/3/18,2283,3222,M
562,1261,5/3/18,2283,729,B
563,1261,5/3/18,2284,14,A
565,1245,5/3/18,2285,2105,G
566,1261,5/3/18,2285,716,B
567,1245,5/3/18,2286,1321,D
568,1261,5/3/18,2286,1313,D
569,1245,5/3/18,2268,915,C
570,1245,5/3/18,2272,915,C
571,1263,5/3/18,2287,218,A
572,1262,5/3/18,2287,2116,G
573,1263,5/3/18,2282,732,B
574,1263,5/3/18,2268,915,C
575,1265,5/3/18,2282,1317,D
576,1265,5/3/18,2281,915,C
577,1267,5/3/18,2269,2919,J
578,1267,5/3/18,508,218,A
579,395,5/3/18,2288,2113,G
580,395,5/3/18,2289,915,C
581,1268,5/3/18,2290,732,B
582,385,5/3/18,2270,716,B
583,1271,5/3/18,2291,1313,D
584,1272,5/3/18,2292,1003,C
585,1273,5/3/18,2293,218,A
586,1275,5/9/18,2277,716,B
587,1280,6/7/18,2306,2614,I
588,1283,6/7/18,2312,3025,L
589,1298,6/7/18,2324,709,B
590,1300,6/7/18,2339,217,A
591,1317,6/7/18,2367,3239,M
592,1317,6/7/18,2360,1317,D
593,1325,6/13/18,2398,1003,C
594,1325,6/13/18,2401,716,B
595,1325,6/13/18,2400,2007,G
596,1327,6/14/18,2402,3909,O
