id,name of presentation,url for presentation,date
33,Team Indecision Fall 2017,sincere-cypresses,10/30/17
34,Team Five Corners Fall 2017,enthusiastic-catalpas,10/30/17
35,Team 65 2017,conscientious-cottonwoods,11/14/17
36,Team 71 2017,convivial-redwoods,11/14/17
37,new,placid-redwoods,12/1/17
38,Test_Longyi,courageous-willows,1/31/18
39,8-Feb-18,ambitious-ashes,2/8/18
40,test1,nice-sweetgums,2/10/18
41,Hello World,courageous-honeylocusts,3/20/18
42,Southard Experiment,intellectual-aspens,3/20/18
43,gg,diplomatic-sequoias,3/20/18
44,Pathfinders,energetic-birches,3/20/18
45,MoneyWar,faithful-willows,3/20/18
46,Eurhythmics Scrabble,conscientious-hazels,3/20/18
47,Pitch,helpful-chinkapin,3/20/18
48,LURn,easygoing-buckeyes,3/20/18
49,Crazy Designer,funny-sycamores,3/20/18
50,Electrifying Escape,frank-alders,3/21/18
51,Crazy Designer,patient-junipers,3/21/18
53,Super Family Friendly Politics Simulator 3000 XP Enhanced Edition+,energetic-buckeyes,3/21/18
54,A Star Just wants to Go Home,amicable-madrones,3/21/18
55,MoneyWars,sympathetic-chestnut,4/3/18
56,Hello World Check-in 1,good-dogwoods,4/3/18
57,LURn Check-in #1,frank-sequoias,4/3/18
58,CheckIn1,inventive-yews,4/3/18
59,Pathfinders Checkin2,convivial-sycamores,4/4/18
60,Your Rhythmic Scrabble: A Eurhythmics Game,honest-basswoods,4/4/18
61,A Star Update 1,creative-chestnut,4/4/18
62,Electrifying Escape v2,diligent-aspens,4/4/18
63,Super Family Friendly Politics Simulator 3000 XP Enhanced Edition+,easygoing-laurels,4/4/18
64,Super Family Friendly Politics Simulator 3000 XP Enhanced Edition+,courteous-firs,4/4/18
65,Super Family Friendly Politics Simulator 3000 XP Enhanced Edition+,pioneering-spruces,4/4/18
66,Crazy Designer2,brave-firs,4/4/18
67,MoneyWar_CP1,adventurous-ashes,4/4/18
68,Hello World Check-in 2,gregarious-pines,4/17/18
69,Pathfinders Checkin Apr18,practical-larches,4/17/18
70,A Star Update 2,agreeable-elms,4/17/18
72,Your Rhythmic Scrabble: A Eurhythmics Game(Check-in 2),hardworking-honeylocusts,4/18/18
73,Crazy Designer3,humorous-hollies,4/18/18
74,LURn Check-in #2,generous-sycamores,4/18/18
75,MoneyWars_CP2,thoughtful-larches,4/18/18
76,Checkin2,practical-hollies,4/18/18
77,Circle Kirch,affable-hollies,4/18/18
78,asdf,compassionate -cherries,5/8/18
79,test_tag,selfdisciplined-larches,5/16/18
80,Hello,helpful-yews,5/25/18
81,Salma Test,impartial-chestnut,6/7/18
82,Team Salma 6/7/2018,broadminded-firs,6/7/18
83,Hamsterbard,loving-cypresses,6/7/18
84,Eaton,sincere-basswoods,6/7/18
86,Highmark-Jun7,philosophical-chestnut,6/7/18
87,Harman 6/7,easygoing-tanoaks,6/7/18
88,NASA 6/7/18,practical-yews,6/7/18
90,07-June TeleTracking,faithful-walnuts,6/7/18
91,Numo Capstone 6/7,gregarious-larches,6/7/18
92,Zazzle-Dazzle,emotional-alders,6/7/18
93,test,tough-ashes,6/13/18
