id,presentation,student-presenter-id,text,date
118,44,613,What is most difficult about navigating without GPS for you?,3/20/18
119,44,613,"What is most fun/engaging about this game, and why? What is most frustrating about this game, and why?",3/20/18
120,44,607,What is most frustrating about this game?,3/20/18
121,44,617,What do you think about the collaborative aspect of this navigation-based game?,3/20/18
122,48,619,How could we make our educational objectives more specific or clear?,3/20/18
123,48,619,What other tasks might novices struggle with in our domain?,3/20/18
124,48,619,What MDA considerations might aid our development? (Feel free to comment on a single game idea),3/20/18
125,48,619,What do you think losing in one of our games could look like?,3/20/18
126,48,619,"Based on our learning objectives, we feel that subjectivity is appropriate for evaluation. Do you agree? If so, to what extent? If not, why not?",3/20/18
127,45,624,What form of tutorial or guide should we provide to beginners who are new to the stock market?,3/20/18
128,45,629,"How can we effectively incorporate a ledger, that keeps track of each player's total assets?",3/20/18
129,45,624,How do we make this game less intimidating to people who are unfamiliar with financial products?,3/20/18
130,46,631,How could we make our educational objectives more specific or clear?,3/21/18
131,46,631,What other tasks might novices struggle with in our domain?,3/21/18
132,41,633,How could we make our educational objectives more specific or clear?,3/21/18
133,41,633,What other tasks might novices struggle with in our domain?,3/21/18
134,48,627,Which game do you think has the most potential and why?,3/21/18
135,48,627,"For the game you stated above, what MDA considerations might aid us in development?",3/21/18
136,48,627,"For a game in this context, how do you think losing could be handled positively?",3/21/18
137,41,634,What do you think a reachable educational goal in either of our design spaces is?,3/21/18
138,46,631,Is this idea engaging enough to our target audience?,3/21/18
139,41,634,What are some potential goals and pitfalls of our design spaces?,3/21/18
140,41,634,Which computer science topic is more challenging to teach in a board game and why?,3/21/18
141,41,609,How can we provide immediate feedback about correctness?,3/21/18
142,46,621,Does this idea have the potential to be developed for different skill levels?,3/21/18
143,41,609,What do you think are pros and cons about our game ideas?,3/21/18
144,51,628,How could we make our educational objectives more specific or clear?,3/21/18
145,51,628,What other tasks might novices struggle with in our domain?,3/21/18
146,51,628,Any suggestion for interesting scenarios?,3/21/18
147,53,641,How could we make our educational objectives more specific or clear?,3/21/18
148,53,641,What other tasks might novices struggle with in our domain?,3/21/18
149,53,641,"Should we rely on a Subject Matter Expert? If yes, who? If no, why not?",3/21/18
150,53,641,What other tasks would our game be positioned well to teach?,3/21/18
151,53,641,How well does our game idea adhere to our educational objectives?,3/21/18
152,51,628,Do we need to make the evaluating criteria more objective? Why?,3/21/18
153,51,628,What other interesting X-dimension card could be?,3/21/18
154,54,643,how can we make this game engaging for longer periods of time than the booth model?,3/21/18
155,54,643,How can we make this game more intuitive?,3/21/18
156,54,644,"Given the current planned gameplay loop, how could we implement a reasonable fail state?",3/21/18
157,50,635,"As a student in high school or college, where specifically did you have difficulty while learning physics circuitry and what did you find easy?",3/21/18
158,50,637,"How well-aligned do you think our Learning Goals, Instructional Principles, and MDA are, and how would you improve them?",3/21/18
159,47,625,How might we add to the tasks in order to keep the game re-playable and engaging?,3/21/18
160,47,625,How might we teach more tactile basic skills through a digital space (e.g. knife skills)?,3/21/18
161,47,639,What might be some more ways that we can effectively assess whether the players have memorized the recipes?,3/21/18
162,47,625,How could we make our educational objectives more specific or clear?,3/21/18
163,47,625,What other tasks might novices struggle with in our domain?,3/21/18
164,50,636,"What are your initial thoughts on the fantasy aspect of our game?(prompt: Too little, Too much, ‰Û_)",3/21/18
165,54,644,"Given the current planned gameplay loop, how could we implement a reasonable fail state?",3/21/18
166,45,622,(INSTRUCTOR) How could we make our educational objectives more specific or clear?,3/21/18
167,45,622,(INSTRUCTOR) What other tasks might novices struggle with in our domain?,3/21/18
168,54,644,Instructor- How could we make our educational objectives more specific or clear?,3/21/18
169,54,644,Instructor- What other tasks might novices struggle with in our domain?,3/21/18
170,50,635,How could we make our educational objectives more specific or clear?,3/21/18
171,50,635,What other tasks might novices struggle with in our domain?,3/21/18
172,44,617,How could we make our educational objectives more specific or clear?,3/21/18
173,44,617,What other tasks might novices struggle with in our domain?,3/21/18
174,46,631,What would be most appealing/least appealing aspects of this game?,3/21/18
175,45,629,How can we help the players familiarize with the game rules and start playing as soon as possible?,4/3/18
176,55,629,How can we help the players familiarize with the game rules and start playing as soon as possible?,4/3/18
177,55,629,What components of our educational goals are missing or under emphasized by our current design?,4/3/18
178,55,629,What learning science principles should we be thinking about going forward?,4/3/18
179,56,609,What components of our educational goals are missing or under emphasized by our current design?,4/3/18
180,56,609,What learning science principles should we be thinking about going forward?,4/3/18
181,56,609,Would our educational goals be more effectively reached with a multi-player (collaborative or competitive) or a single-player game and why?,4/3/18
182,56,609,"How could we incorporate teaching base conversion (from 2 to 10 and back) within our game as an additional learning objective, or is it more useful to focus on teaching bitwise operators, and why?",4/3/18
183,56,609,How could we improve our game ideas to make them more fun and engaging?,4/3/18
184,57,618,What components of our educational goals are missing or under emphasized by our current design?,4/3/18
185,57,618,What learning science principles should we be thinking about going forward?,4/3/18
186,57,618,"We're concerned about how the three types of cards (Student, Situation, Strategy) might interplay successfully. Do you know of any games we can look at, or can you offer any advice?",4/3/18
187,57,618,How might a fantasy element contribute to/detract from our learning objectives? Any suggestions on fantasy themes?,4/3/18
188,57,618,Our game needs a name!! Any clever ones you'd like to share?,4/3/18
189,58,625,What components of our educational goals are missing or under emphasized by our current design?,4/3/18
190,58,625,What learning science principles should we be thinking about going forward?,4/3/18
191,58,625,"How can we vary the levels in order for a player to ""level up""/ ""chef up""?",4/3/18
192,58,625,What is the hardest part of cooking pasta for you?,4/3/18
193,59,607,What components of our educational goals are missing or under emphasized by our current design?,4/4/18
194,59,607,What learning science principles should we be thinking about going forward?,4/4/18
195,59,607,How can our game give instruction for navigation skills and not just give opportunities for practice?,4/4/18
196,59,607,Do you have other ideas for how we can incorporate feedback in a physical-digital hybrid game?,4/4/18
197,59,607,"Which do you think would be more fun: navigating in modern real-life locations around the world, a historical place, or a fantasy world? Why?",4/4/18
198,56,609,What are some ways we could abstract the idea of bit manipulation to make the game more engaging in the long-term?,4/4/18
199,60,631,What components of our educational goals are missing or under emphasized by our current design?,4/4/18
200,60,631,What learning science principles should we be thinking about going forward?,4/4/18
201,60,631,How can we scale this game to be engaging to different skill levels?,4/4/18
202,60,632,How can we include more ways to express rhythms?,4/4/18
203,58,625,What is something about cooking pasta that you would like to learn!,4/4/18
204,61,616,{ÌÎnstructor}-- What components of our educational goals are missing or under emphasized by our current design?,4/4/18
205,61,616,{ÌÎnstructor}--What learning science principles should we be thinking about going forward?,4/4/18
206,61,616,"Should we move forward and develop a tutorial for the game, or let a playthrough of the game run first?",4/4/18
207,61,616,Should we include the stories behind the constellation after a player forms it?,4/4/18
208,62,635,What components of our educational goals are missing or under emphasized by our current design?,4/4/18
