id,value,response,student presenter id,presentation
3,1,2300,605,79
4,1,2294,605,79
5,5,2300,651,79
6,5,2294,651,79
7,3,2297,605,79
8,5,2301,605,79
9,2,2297,651,79
10,4,2301,651,79
11,1,507,605,38
12,2,2260,605,38
13,3,465,605,38
14,4,466,605,38
15,5,467,605,38
16,4,468,605,38
17,3,469,605,38
18,2,502,605,38
19,1,503,605,38
20,5,514,596,39
21,3,511,596,39
22,5,512,596,39
23,4,514,647,39
24,3,511,647,39
25,2,512,647,39
26,4,513,647,39
27,1,515,647,39
28,3,516,647,39
29,3,517,647,39
30,1,518,647,39
31,3,2306,647,81
32,2,2308,647,81
