Database Name,Object Description,Headers,,,,,,,,,,,,,,,,,,,,,,,,
StudentPresenter,"A  student presenter signs in with a google email. They can create presentations, write questions, and organize responses to the questions. Each presenter on a team can view their team's presentation data.",id,firstName,LastName,,,,,,,,,,,,,,,,,,,,,,
Presentation,"A presentation is a collection of questions and responses (feedback) to those questions, for a particular team.",id,name,url,date,,,,,,,,,,,,,,,,,,,,,
Question,A question belongs to a specific presentation. It is written by a student presenter.,id,presentation,student presenter id,text,date,,,,,,,,,,,,,,,,,,,,
StudentListener,"A student listener goes to the URL for a presentation and picks any temporary username they wish to use for that presentation. They can answer questions, vote on other listener's responses, or add emoji's to other listener's responses. ",id,username,presentation,,,,,,,,,,,,,,,,,,,,,,
Response,"A response is the feedback, given in answer to a question.",id,responder,questions,date,response,upvotes,presentation,,,,,,,,,,,,,,,,,,
Vote,Voting happens during the presentation. A vote is a +1 given by a particular listener to an individual response.,id,voter,date,response,,,,,,,,,,,,,,,,,,,,,
Emoji,Emoji's can be added during the presentation. An emoji icon can be added by a listener to an individual response.,id,voter,date,response,emoji code,,,,,,,,,,,,,,,,,,,,
Tag,"Tags happen during the team's post mortem meeting. A tag is created by a student presenter to help organize the responses. For example, the presenter could tag several responses as ""important"" and then filter to only show those responses.",id,name,presentation,,,,,,,,,,,,,,,,,,,,,,
Star,"Stars happen during the team's post mortem meeting. A star is a rating from 1 to 5 given by a student presenter to indicate the helpfulness of an individual response. For example, the presenter could give several comments 5 stars, then filter to only show those responses.",id,value,response,student presenter id,presentation,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
